,Category,PanelScore,ABV/Proof,Agave (cooked),Caramel,Oak,Vanilla,Butter,Pepper (black),Fruity,Citrus,Olive,Dried Fruit,Orange,Lime,Smoke,Minerals,Earth,Anise,Brine/Salt,Cinnamon,Vegetal,Mint,Flowers,Herbal,Grass,White Pepper,Chocolate,Alcohol,Tobacco,Butterscotch,Honey,Leather,Nuts,Cream Soda,Pear,Raisin,Cherries (dried),Nutmeg,Tropical Fruits,Lactic,Whiskey,Cherry,Melon,Bell Pepper,Baking Spice,Almond,Pineapple,Pitted Fruit,Licorice,Agave (raw),Apple,Banana,Molasses,Maple,Barrel Spice,Peach,Toffee,Grapefruit,Mocha,Berry,Cocoa,Hazelnut,Clove,Plum,Nuts (Roasted),Coffee,Pinecone,Lemon,Yeast/Dough,Black Tea,Cedar,Pine Tree,Celery,Orange Blossom,Coconut,Tangerine,Prune,Orange Peel,Jalapeño,Wet Earth,Grass (cut),Grass (wet),Apple (green),Grapes,Wood Bark,Allspice,Mushroom,Charcoal,Rosemary,Cake Batter,Dill,Jasmine,Lavender,Spearmint,Cider,Astringent,Hay,Damiana,Solvent,Vinegar,Moss,Lemongrass,Chamomile,Peppermint,Medicinal,Rose,Wet Cement,Plastic,Oregano,Walnut,Sage,Toasted Bread,Fruit (fake),Wood Shavings,Thyme,Tamarind,Baby Oil,Musty,Artichoke,Metallic,Caraway Seed,Rubber,Varnish,Resin,Sawdust,Soap,Basil,Mild Ammonia,Sour Milk,Strawberry,Parsley,Artificial Sweetener,Acetone,Hominy,Baking Soda,Petrol,Limestone,Sulfur,Chlorine,Stainless_steel_tanks_ferm,Open-air_ferm,with_fibers_ferm,without_fibers_ferm,Wood_ferm,Cement_ferm,Champagne_ferm,Classical_music_ferm,American_White_Oak_age,French_Oak_age,Hungarian_Oak_age,Used_barrels_age,New_barrels_age,Cognac_casks_age,Sherry_casks_age,Wine_casks_age,Port_casks_age,Bourbon_barrels_age,Whisky_barrels_age,Rum_barrels_age,Scotch_barrels_age
12,Extra Añejo,91,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Blanco,91,42,1,,,,,0.625,0.0625,0.34375,,,,,,0.21875,,0.0625,0.125,0.3125,0,0.125,0.0625,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Extra Añejo,91,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0
15,Blanco,91,46,0.888888888888889,,,,0.166666666666667,0.277777777777778,0,0.333333333333333,,,,,1,,0.388888888888889,,,0,0.277777777777778,,,,0.166666666666667,,,,,,,,,,,,,,0.111111111111111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Extra Añejo,91,45,1,0,0.714285714285714,0.285714285714286,,0.142857142857143,0,,,,,,,0,,,,0.285714285714286,,,,,,,,0.285714285714286,,0.142857142857143,,0.142857142857143,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
17,Blanco,91,46,1,,,0.017094017094017,0.153846153846154,0.358974358974359,0,0.273504273504273,0.264957264957265,,,,,0.008547008547009,0.196581196581197,,0.094017094017094,,0.085470085470086,,,,,,,0.170940170940171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Blanco,91,46,1,,,,,0.34375,0.09375,0.15625,0.125,,,,0.03125,0.03125,0.09375,,0.125,0.28125,0,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Extra Añejo,91,40,1,0.826086956521739,0.695652173913043,0.521739130434783,0.043478260869565,0.130434782608696,,0.173913043478261,,,,,,,,,,0.043478260869565,,,,,,,0,,,0.304347826086957,,,,,,,,,,,0.086956521739131,0.043478260869565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,Blanco,91,55,0.75,,,,0,,,0.25,,,,,,0.25,1,,,0.75,0,0.75,,0.25,,,,,,,,,,,0,,,,,,,,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
21,Extra Añejo,91,40,1,0.363636363636364,0.666666666666667,0.454545454545455,0.03030303030303,0.606060606060606,,,,,,,,0.060606060606061,0.090909090909091,,,0.212121212121212,,,,,,,0.060606060606061,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
22,Extra Añejo,91,43,1,0.674418604651163,0.651162790697674,0.325581395348837,0,0.325581395348837,0.069767441860465,,,0.186046511627907,,,,,,,,0.023255813953488,,,,,,,0.023255813953488,0.13953488372093,,,,,,,,,,,,,0.069767441860465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
23,Blanco,91,49,1,,,,0.25,0.444444444444444,,0.222222222222222,,,,,,0.333333333333333,0.083333333333333,,,0.027777777777778,0,,,,,,,0.055555555555556,,,,,,,0,,,,,,,,,,0.027777777777778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Extra Añejo,91,45,1,0.411764705882353,0.352941176470588,0.411764705882353,,0.117647058823529,,0.117647058823529,,,,,,0.176470588235294,,,,0.058823529411765,,,,,,,,0.176470588235294,,,,,,,,,,,,,0,,,,,,0.058823529411765,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
25,Blanco,91,46,1,,,,,0.678571428571429,,0.214285714285714,,,,,,,0.071428571428572,0.071428571428572,0.107142857142857,0.071428571428572,0.178571428571429,,,,0.035714285714286,,,0.071428571428572,,,,,,,,,,,,,,,,,,,,,0.142857142857143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Extra Añejo,91,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Reposado,91,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
28,Añejo,91,46,1,0.2,0,0.2,0.2,,0.2,,,0.2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
29,Reposado,91,40,1,,0,0,,,,0,,,,,,,,,,0.5,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Reposado,91,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Extra Añejo,90,50,0.857142857142857,1,0.428571428571429,1,,,0.571428571428571,,,0.714285714285714,,,0,,,,,,,,,,,,,0.428571428571429,,,,,,,,,,,,,0.142857142857143,0,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
32,Extra Añejo,90,47,1,,0.4,0.4,,0.2,0,,,0,,,,,,,,,,0.4,,,,,0.4,,,,,,,,,,,,0,,,0.4,,,,,,,,,,,,0.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
33,Extra Añejo,90,40,1,,0.666666666666667,0.666666666666667,,0.333333333333333,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
34,Extra Añejo,90,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Blanco,90,46,1,,,,0,0.466666666666667,0.2,0.333333333333333,0.066666666666667,,,0.066666666666667,,,0.133333333333333,,,,0.133333333333333,,,0.2,,,,0.133333333333333,,,,,,,,,,,,,,,,,,,,,,0.066666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Extra Añejo,90,41.5,1,0.75,0.75,,0,0.5,0,0,,,,,,,,0,,,,,,,,,0,,,,,0,,,,,,,,,,0.25,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
37,Extra Añejo,90,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Blanco,90,50.5,1,,,,0,0.454545454545455,0.181818181818182,0.090909090909091,,,,,,0,,0.090909090909091,0.454545454545455,0.181818181818182,,,0.090909090909091,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0.090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Reposado,90,40,1,0.333333333333333,0.2,0.066666666666667,,0.333333333333333,0.066666666666667,,,0.266666666666667,,,,0.133333333333333,0.466666666666667,,,0.066666666666667,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.066666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
40,Extra Añejo,90,40,0.5,0.5,0.5,1,0.5,,1,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
41,Añejo,90,40,0,,0,0,0,,,0,,,,,,,,,,0,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Extra Añejo,90,40,0.5,0.5,1,0.5,,0.5,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,Añejo,90,40,1,0.553571428571429,0.660714285714286,0.633928571428571,0.1875,0.303571428571429,0.017857142857143,0.080357142857143,,,,,0,,0.0625,,,0.125,,,,,,,,,,0.241071428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
44,Reposado,90,43,1,0.375,0.25,0.125,0,0.625,,,,,,,,0.25,,,,0.625,,,,,,,,,,0.125,0,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,Blanco,90,54,1,,,,,0.75,0.111111111111111,0.361111111111111,,,,,,0.222222222222222,0.111111111111111,,,0.416666666666667,0.027777777777778,,,0.027777777777778,,,,0.527777777777778,,,,,,,,,,,,,,,,,0,,0.083333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Añejo,90,49,1,0.333333333333333,0.666666666666667,0.666666666666667,,0.333333333333333,,,,,,,,,0,,,,,,,,,,0,0.333333333333333,,,,,0,0,,,,,,,,,,,0.333333333333333,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
47,Blanco,90,42,1,,,,,0.603174603174603,,0.253968253968254,0,,,,,0.476190476190476,0.015873015873016,,0,,0.158730158730159,0,,0.015873015873016,0.079365079365079,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Extra Añejo,90,40,0.717948717948718,0.487179487179487,1,0.358974358974359,0.051282051282051,0.076923076923077,,0.025641025641026,,,,,0.025641025641026,,,,,0.025641025641026,,,,,,,,,,0.051282051282051,,,,,,,,,,,0.102564102564103,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
49,Añejo,90,40,1,0.333333333333333,1,0.666666666666667,,,,,,,,,,0.333333333333333,,,,1,,,,,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
50,Añejo,90,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Extra Añejo,90,40,0.666666666666667,1,0.666666666666667,1,0.333333333333333,0.333333333333333,,0.666666666666667,,,,,,,,,,,,,,,0.333333333333333,,1,,,,0.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
